Percentil,Nodos en Núcleo,Tasa Recuperación Media,Tasa Recuperación Std,Dataset
90,283,0.11513002364066195,0.020772865485781253,Cora
95,147,0.04520547945205481,0.020969794526401887,Cora
97,82,0.024390243902439032,0.019914550754334782,Cora
99,29,0.0,0.0,Cora
90,227,0.09793510324483776,0.01924425537498536,Citeseer
95,110,0.05454545454545454,0.022019275302527213,Citeseer
97,80,0.025833333333333337,0.021874007914011145,Citeseer
99,22,0.0,0.0,Citeseer
90,2099,0.0955513187162377,0.008027587711605454,Pubmed
95,1052,0.040050697084917625,0.006711382658998087,Pubmed
97,614,0.027361563517915313,0.007116599178360017,Pubmed
99,214,0.01059190031152648,0.007905655788442066,Pubmed
